"module"	"tf"	"color"	"odds_ratio"	"pval"	"fdr"	"Significance"	"Jaccard"	"size_intersection"
"INSM1"	"yellow"	"INSM1"	"yellow"	3.41885295642848	1.69625849494456e-15	1.22065161147458e-14	"***"	0.0125406409660938	81
"RARA::RXRA"	"yellow"	"RARA::RXRA"	"yellow"	2.38870353519822	5.69994842087277e-07	1.61781668559458e-06	"***"	0.0104166666666667	51
"NR4A2"	"yellow"	"NR4A2"	"yellow"	1.79633616467825	0.00188500426897419	0.00331263412168373	"**"	0.00843091334894614	36
"PLAG1"	"yellow"	"PLAG1"	"yellow"	4.28547701480831	2.62860980886979e-23	3.46048750132388e-22	"***"	0.0126510143606109	111
"Nr2e3"	"yellow"	"Nr2e3"	"yellow"	1.5132129034225	0.0430856225048409	0.0571919473106963	""	0.00730593607305936	24
"ARNT::HIF1A"	"yellow"	"ARNT::HIF1A"	"yellow"	0.866970210814551	0.689286415560976	0.713681701607894	" "	0.00405131667792032	6
"Zfx"	"yellow"	"Zfx"	"yellow"	2.8967604209001	1.8554109256305e-13	1.09997606663869e-12	"***"	0.00971572508096438	108
"Crx"	"yellow"	"Crx"	"yellow"	2.27825232492425	1.45705664733587e-05	3.48662758311165e-05	"***"	0.0102590407796871	40
"DUX4"	"yellow"	"DUX4"	"yellow"	1.34134302690073	0.0957660004512926	0.118903916233006	" "	0.00660377358490566	28
"FOS"	"yellow"	"FOS"	"yellow"	1.65004718078277	0.0130700016274605	0.0193841376025558	"*"	0.00788066422741345	28
"FOSL2"	"yellow"	"FOSL2"	"yellow"	1.7772944087095	0.00622043092009536	0.00982104014051035	"**"	0.00840074673304294	27
"FOXH1"	"yellow"	"FOXH1"	"yellow"	1.4079464458455	0.0636172739959755	0.0818014703837939	""	0.0068812976161219	28
"Foxo1"	"yellow"	"Foxo1"	"yellow"	2.1979938900997	1.91408453088661e-06	5.10902569296525e-06	"***"	0.00957339603627813	57
"Gfi1b"	"yellow"	"Gfi1b"	"yellow"	1.61909884321657	0.00171315280892546	0.00303038815770784	"**"	0.00746640119462419	60
"JUN"	"yellow"	"JUN"	"yellow"	1.64763943937987	0.00772405375628067	0.0120086365450199	"*"	0.00785038097437082	34
"JUN(var.2)"	"yellow"	"JUN(var.2)"	"yellow"	1.52035767239034	0.0309544868916117	0.0423318922477402	"*"	0.00734715297822094	28
"JUND(var.2)"	"yellow"	"JUND(var.2)"	"yellow"	1.47049589096099	0.0379382838392203	0.0509639131045469	""	0.00714115686741252	30
"Klf1"	"yellow"	"Klf1"	"yellow"	2.84343438632479	1.49106662829538e-12	8.24970856396799e-12	"***"	0.0103405642351354	92
"Nr1h3::Rxra"	"yellow"	"Nr1h3::Rxra"	"yellow"	1.99681928346775	1.60477341286323e-05	3.80857147188537e-05	"***"	0.00879378572475451	60
"MEF2C"	"yellow"	"MEF2C"	"yellow"	2.02641749619566	7.99853114709912e-07	2.23898845618609e-06	"***"	0.00798879920935595	97
"MAF::NFE2"	"yellow"	"MAF::NFE2"	"yellow"	1.91245824153495	0.000543543901442204	0.00103351848039733	"**"	0.0088681446907818	38
"Nkx2-5(var.2)"	"yellow"	"Nkx2-5(var.2)"	"yellow"	1.82083030551194	0.000874237320422258	0.00162166856452964	"**"	0.0084728249638355	41
"NR2C2"	"yellow"	"NR2C2"	"yellow"	3.17044439551252	2.21204403201848e-14	1.42257314472913e-13	"***"	0.0115451738488388	86
"Nr5a2"	"yellow"	"Nr5a2"	"yellow"	2.20451199750524	1.53237337064481e-06	4.1493667314012e-06	"***"	0.00957095709570957	58
"NRF1"	"yellow"	"NRF1"	"yellow"	2.82470382485892	2.20731827767884e-10	9.303160650556e-10	"***"	0.0115045838576308	64
"POU2F2"	"yellow"	"POU2F2"	"yellow"	1.2319346087776	0.135734441961269	0.163275292184532	" "	0.00615024161663494	42
"SMAD2::SMAD3::SMAD4"	"yellow"	"SMAD2::SMAD3::SMAD4"	"yellow"	1.96781933036764	1.56812298319126e-05	3.72356417653266e-05	"***"	0.00860677783754707	64
