"gene_name"	"module"	"color"	"kME_turquoise"	"kME_red"	"kME_grey"	"kME_brown"	"kME_blue"	"kME_yellow"	"kME_green"
"PER3"	"PER3"	"grey"	"grey"	-0.0294842107853185	0.092822198980881	0.115660147276242	0.158674904480985	0.243803713335767	0.00343321363177186	0.103514347171228
"PARK7"	"PARK7"	"grey"	"grey"	-0.0164215099561717	0.00385704419268522	0.0441091720226386	0.0256828609947959	0.0677989083603174	0.00429373506501382	0.0232380201588569
"ERRFI1"	"ERRFI1"	"grey"	"grey"	0.0915259794579246	0.0375826754914496	0.0243961362614063	0.0560057351305934	-0.0394634165770875	0.0841501377558841	0.0437615276840193
"RERE"	"RERE"	"turquoise"	"turquoise"	0.214048619565542	0.167807337060903	0.0722564577039604	0.075939362963232	0.0312948490470343	0.10487918328097	0.0813723320859111
"ENO1"	"ENO1"	"grey"	"grey"	-0.00824219212792873	-0.0046010556643916	0.0464398815790915	0.0266178791020914	0.0635075012059787	0.0367844096764079	0.0399517219681522
"MIR34AHG"	"MIR34AHG"	"grey"	"grey"	0.0515456769507256	0.0264497062676259	0.0274778857234218	0.0175792516844251	0.00317392135151032	0.00861671481240126	0.0275020856609566
"H6PD"	"H6PD"	"grey"	"grey"	0.0048425241691803	0.0194744991758934	0.0659979645220288	0.0423906540569468	0.0688871254256684	0.0435049293548207	0.0359206928704582
"SPSB1"	"SPSB1"	"grey"	"grey"	0.0499319700275279	-0.0213801798207352	0.0456301938411941	0.0475617157121797	-0.0371264642794948	0.0813901362859743	0.0135155136478895
"SLC25A33"	"SLC25A33"	"blue"	"blue"	-0.0592199596147479	0.0117619648649651	0.0724954655948695	0.0687798943154417	0.200842776901293	0.0223193998535914	0.0541511141995478
"CLSTN1"	"CLSTN1"	"grey"	"grey"	-0.00118142882102634	0.0134250899986574	0.102299105954502	0.065208004522961	0.129574392377085	0.0644767043022978	0.0756318334440092
"CTNNBIP1"	"CTNNBIP1"	"blue"	"blue"	-0.036151394563074	0.00220495290125072	0.111229002948829	0.0057672223035923	0.214476586257521	0.0904449723150138	0.123681957975902
"LZIC"	"LZIC"	"grey"	"grey"	-0.0148574452152948	-0.0013239174613498	0.031538176778721	0.00216441616590471	0.0614893345889512	0.0163373419432695	0.0292923898065809
"NMNAT1"	"NMNAT1"	"grey"	"grey"	-0.02565206405868	-0.0280474672447248	0.0449230366389774	-0.0390018003503651	0.0928691256814484	0.0632400016697475	0.077574055871934
"UBE4B"	"UBE4B"	"green"	"green"	0.0286212982209186	0.084152916333961	0.167447205687194	0.144446730904405	0.236750343504824	0.108150779013186	0.162364664588185
"KIF1B"	"KIF1B"	"grey"	"grey"	-0.0430436849280302	0.0579185500395793	0.197309336958718	0.245066935259358	0.300400953528804	0.0340974092215175	0.0570129764020079
"PGD"	"PGD"	"blue"	"blue"	-0.0431028279173994	-0.00738239762720504	0.0739480695648864	0.04198251857763	0.141112648387616	0.0374251284351423	0.0514175570742227
"DFFA"	"DFFA"	"grey"	"grey"	0.00442868484640906	0.00443598931878164	0.0606009364731691	0.00305244604279576	0.0888279536293374	0.0541891022047401	0.0647586016948752
"PEX14"	"PEX14"	"grey"	"grey"	0.0670452408094423	0.0622710730378881	0.11488211281165	0.112412349404783	0.0765763480519291	0.0663056538254689	0.0374534310816611
"CASZ1"	"CASZ1"	"grey"	"grey"	0.000881957149369791	-0.0222376601203959	0.0628941101974672	-0.0102389200222263	0.0870294247613141	0.0934743657184512	0.096550731635397
"C1orf127"	"C1orf127"	"green"	"green"	-0.00503842127329328	0.0432173022104844	0.0864870489705342	0.0228385734462285	0.217463062920165	0.0817984004473282	0.207170383987021
"TARDBP"	"TARDBP"	"grey"	"grey"	0.016822715158584	0.0506196808327037	0.101552160487966	0.0858079125961556	0.121988887086503	0.0402246264203085	0.0560461932381364
"EXOSC10"	"EXOSC10"	"blue"	"blue"	-0.0522305143781441	-0.0136434594764769	0.108304836840876	0.0387621381225358	0.203055561835598	0.0609547630504422	0.0913980260517959
"MTOR"	"MTOR"	"grey"	"grey"	-0.000549562243693692	0.0340452248585804	0.128666738755451	0.0924218285498994	0.167105387834481	0.0444956300980719	0.0622123904826592
"DISP3"	"DISP3"	"yellow"	"yellow"	0.0898151313460775	-0.0184707826921365	0.0135797193818705	-0.0472630449717219	-0.0697183412345504	0.167735490271476	0.0924340878593632
"MTHFR"	"MTHFR"	"blue"	"blue"	-0.0502521329740706	-0.0236364607651315	0.0698509826722969	-0.00338136811874744	0.168444739245062	0.0647606104182615	0.0805505447948255
"CLCN6"	"CLCN6"	"blue"	"blue"	-0.0451102857767132	0.0079070002038162	0.103743955247593	0.0447716102653347	0.201120368415848	0.0448951249041687	0.0710536118548877
"MFN2"	"MFN2"	"grey"	"grey"	-0.0440812523513579	-0.0240532175327441	0.0519726202068115	0.00752409312652883	0.118361741157236	0.0338914726495911	0.0461229650442912
"VPS13D"	"VPS13D"	"grey"	"grey"	0.0221551153278937	0.0848098745018419	0.199166725722952	0.169691903117634	0.268787278945307	0.101099752599981	0.116097561889956
"C1orf158"	"C1orf158"	"grey"	"grey"	-0.0518253652363238	-0.0195612794397905	0.106791239949591	-0.0152461725056543	0.169779809067882	0.085585913431367	0.0968435156854834
"PRDM2"	"PRDM2"	"grey"	"grey"	0.00303028309249833	0.0386553372384345	0.113635804441836	0.154392850489391	0.127883523250755	0.0112652698931423	0.00171255808744178
"KAZN"	"KAZN"	"grey"	"grey"	-0.0575732237261859	-0.0233883006702036	0.0838754346545014	-0.0167944054613435	0.158438761693908	0.0502048426624755	0.0522164498223615
"TMEM51"	"TMEM51"	"grey"	"grey"	0.0187968165848596	-0.014575271251524	0.0519191195512753	0.0394970880211451	0.0161649077194533	0.0555994104330236	0.0273238947860248
"CASP9"	"CASP9"	"grey"	"grey"	0.00409650434114877	0.0186769881850119	0.0559400808751082	0.0142839363692716	0.0664172930017022	0.0375085678612024	0.0462583671803077
"DNAJC16"	"DNAJC16"	"grey"	"grey"	0.016588935120085	0.0314324892188855	0.0986469184177493	0.070470072805908	0.112239513988783	0.0421639309489543	0.0480045139838546
"DDI2"	"DDI2"	"grey"	"grey"	0.024740110213329	0.0598502949760375	0.0948066252930195	0.0685748044245251	0.126074379925803	0.0679230327486795	0.0902315292105083
"PLEKHM2"	"PLEKHM2"	"blue"	"blue"	-0.00226623745883351	0.00788846164235888	0.0819417295000737	-4.5359962551545e-05	0.156134651934029	0.10664585860078	0.133695940569786
"FBLIM1"	"FBLIM1"	"grey"	"grey"	-0.042551562885633	-0.0307696552060359	0.0699526844275768	-0.0331591509460343	0.117511772077344	0.0972710582735971	0.095049264610477
"AL450998.2"	"AL450998.2"	"grey"	"grey"	-0.0142982712153797	0.0310036296686245	0.0276422348156649	0.0390389239388187	0.0728445740160339	-0.00092225589988173	0.00555984391323425
"SPEN"	"SPEN"	"grey"	"grey"	0.0299395947922453	0.0213299504131375	0.129489603445778	0.107906582063599	0.14717544101943	0.0918742887177076	0.0933329845774618
"ZBTB17"	"ZBTB17"	"grey"	"grey"	0.0338865051011896	0.030632589440865	0.0599786939704825	0.0540585248852393	0.0638738454042704	0.0430460446774538	0.0429195844144343
"FBXO42"	"FBXO42"	"blue"	"blue"	-0.013994448048197	0.0330957326014639	0.126628995901877	0.0796377594530094	0.173708551670639	0.0557173537806946	0.0773757458393457
"SZRD1"	"SZRD1"	"grey"	"grey"	-0.00388106868772525	0.00906666978403686	0.0590821085028124	0.0415895359496071	0.0925467272809966	0.0426604657338409	0.0532649917156533
"NBPF1"	"NBPF1"	"grey"	"grey"	0.0363645251303091	0.0335786356090141	0.0713009735584675	0.0409162947346447	0.0653819125011289	0.0388445629791681	0.038155378368962
"CROCC"	"CROCC"	"grey"	"grey"	-0.01931638830097	-0.0142136645765435	0.0314000337273423	-0.0320644055343579	0.0798161256454138	0.0498306572400823	0.0622442842955543
"SDHB"	"SDHB"	"grey"	"grey"	-0.043038989244352	0.00575496125561367	0.0631130179084347	0.0684036511065799	0.121269012521748	-0.00359140793718038	0.00779245870218532
"RCC2"	"RCC2"	"grey"	"grey"	0.00464386135571036	0.0198278203918335	0.0577291465694268	0.0148111012339982	0.0576745007016535	0.0352315430563216	0.0351652492368129
"ARHGEF10L"	"ARHGEF10L"	"blue"	"blue"	-0.0320795014899311	-0.00988007837735186	0.160891573611509	0.0141794651508398	0.223961212320276	0.201186450020008	0.174190223992692
"UBR4"	"UBR4"	"blue"	"blue"	-0.0517885277600001	0.0146110882052875	0.181681548055012	0.150623572879165	0.305634838161862	0.0804175386139174	0.0968962905046141
"EMC1-AS1"	"EMC1-AS1"	"grey"	"grey"	-0.00689156876009695	0.015497390341793	0.0450164812550909	0.0519775318147275	0.0533591744828182	0.0145004526171316	0.00235589184089874
"EMC1"	"EMC1"	"grey"	"grey"	0.000700916937020072	0.0122838396998656	0.0503800864150136	0.0310007206652527	0.0767916780485923	0.0380550642875144	0.0448362590997462
"AKR7A2"	"AKR7A2"	"grey"	"grey"	-0.0458888735879239	-0.0184516375315913	0.0494466547143911	0.0199075582291161	0.0978150582338059	0.0184586780052006	0.0322481660250323
"CAPZB"	"CAPZB"	"yellow"	"yellow"	0.0281822056983759	-0.00311076971214318	0.138873322533121	0.074532701001206	0.121143347052097	0.158779432687516	0.088517806116052
"MICOS10"	"MICOS10"	"grey"	"grey"	0.0103874833970835	0.0144096077721774	0.0438848928343312	0.0310687297421712	0.0530080132546211	0.034519947098541	0.0360198869471075
"TMCO4"	"TMCO4"	"grey"	"grey"	0.0674317708887846	0.0535153063445183	0.0919551068158162	0.0399896124317487	0.0530099902516712	0.103122088368614	0.0977550366394119
"OTUD3"	"OTUD3"	"grey"	"grey"	0.0292196652516237	0.0325537875378657	0.0701920072928408	0.0836395464389486	0.0290283860381494	0.0344405727214511	0.0139004754368229
"CAMK2N1"	"CAMK2N1"	"blue"	"blue"	-0.0644046569726274	-0.0285861979185379	0.0317593597780272	-0.0392749904117636	0.13322727648471	0.0460724924035458	0.0895155851652657
"DDOST"	"DDOST"	"grey"	"grey"	-0.0372241009737079	-0.0128646677938594	0.024043216923268	0.0267776177718866	0.0423514404734422	-0.0110889876156073	0.00607373084167015
"HP1BP3"	"HP1BP3"	"grey"	"grey"	0.0444538489289557	0.0553292962039377	0.144248382453189	0.113869648351906	0.155137751939495	0.0812343667566447	0.0765562788515867
"EIF4G3"	"EIF4G3"	"turquoise"	"turquoise"	0.0642511935753443	0.0942709356296642	0.014338916656419	0.0506034052761138	-0.107563705360771	-0.023766834935131	-0.0404379452120081
"ECE1"	"ECE1"	"green"	"green"	-0.0465498372813647	-0.0221053179885404	0.100200605221204	-0.0332368720375666	0.186880398141696	0.134641506262096	0.223843330492106
"NBPF3"	"NBPF3"	"grey"	"grey"	0.0443784686114424	0.0422652753113287	0.0572839141401664	0.0405175907885547	0.0321956504613682	0.0612098025149619	0.0219969329182269
"RAP1GAP"	"RAP1GAP"	"blue"	"blue"	-0.0791093990617448	-0.0326162986757164	0.0798754695132057	-0.0376930499130248	0.215864120295419	0.0861084710591628	0.127476451794539
"USP48"	"USP48"	"blue"	"blue"	0.00528240072793054	0.0817817388393589	0.160163350263744	0.144088913370537	0.247097957310853	0.088041492960186	0.111270349015199
"CDC42"	"CDC42"	"grey"	"grey"	0.0408804158068592	0.0667612176085393	0.0953116351460662	0.14018987645615	0.124547010673643	0.0311191722752651	0.0398726368052042
"WNT4"	"WNT4"	"grey"	"grey"	0.022310462131793	0.0245218764362409	0.0493127212756188	0.0129302840956231	0.0854279218649227	0.100132786882717	0.09833788982521
"ZBTB40"	"ZBTB40"	"grey"	"grey"	0.0425392808159892	0.0443978672180916	0.0815340892412018	0.0775991261620807	0.0788526450508875	0.0358781017806931	0.0284434529366522
"EPHB2"	"EPHB2"	"grey"	"grey"	-0.0264728399087253	-0.0417967728468274	0.0636937572819449	-0.0311446492404338	0.0861327523811463	0.0534752807470261	0.0415267730319648
"KDM1A"	"KDM1A"	"brown"	"brown"	0.0199709126395591	0.0850801398534464	0.145793480892011	0.237566350757213	0.213148917837284	0.0240063003846514	0.0349983261758514
"AL031428.1"	"AL031428.1"	"brown"	"brown"	0.0385388053142079	0.0481197496750423	0.00478713256150087	0.0985207520115867	-0.00579058004395014	-0.0506353270031489	-0.0529152048109088
"LUZP1"	"LUZP1"	"grey"	"grey"	0.0266997728695388	0.0182407513975579	0.0637478634241892	0.0412720133543196	0.0549821602988548	0.0475141478337319	0.0332685890805399
"LINC01355"	"LINC01355"	"grey"	"grey"	0.0615984274814086	0.0588196185319743	0.0684327671006078	0.0491125784563348	0.0147954331923598	0.0318565129699479	0.00921545180659252
"HNRNPR"	"HNRNPR"	"grey"	"grey"	0.0346375509511564	0.0531006714421741	0.134514649615724	0.129117018673027	0.120324601036179	0.0586136718892681	0.037097459981952
"RPL11"	"RPL11"	"grey"	"grey"	-0.0952413895342358	-0.0548226782173549	-0.0476191064520386	-0.0303224106227878	0.0157610331394109	-0.0476382201644142	-0.0206883683661121
"ELOA-AS1"	"ELOA-AS1"	"grey"	"grey"	0.00377735645663848	0.0423499182008225	0.0467608559546702	0.0327479721773825	0.0541850564940403	0.000833966652258784	0.016119306357972
"ELOA"	"ELOA"	"grey"	"grey"	-0.0140363366277282	-0.00653176262704111	0.061348140797929	0.0181664943615451	0.0921578851120079	0.0423545272061735	0.0429272892661348
"PITHD1"	"PITHD1"	"grey"	"grey"	-0.0504660980198643	-0.0126551332175644	0.0343910158567853	0.0369959301111494	0.100602210373315	-0.012095185974208	0.0141507752129391
"HMGCL"	"HMGCL"	"grey"	"grey"	-0.0238378155699841	0.00104438727761513	0.0488049325610574	0.0123468974185318	0.10040442298985	0.0190273878748636	0.0429972728015911
"PNRC2"	"PNRC2"	"grey"	"grey"	0.0363995295787076	0.018672517719062	0.0465275348392296	0.0309617156833618	0.0202164497705839	0.0311805447219626	0.0154997034732393
"SRSF10"	"SRSF10"	"grey"	"grey"	0.0151757493268365	0.0299148191725925	0.107457575033952	0.116306555130023	0.134692324866628	0.0420023033725438	0.0505536735315057
"IFNLR1"	"IFNLR1"	"grey"	"grey"	-0.0272255890171345	-0.00928472442708485	0.0844455095711569	0.0115092828372735	0.120151590214772	0.0529946936535054	0.052547653186188
"STPG1"	"STPG1"	"grey"	"grey"	0.0339259675499293	0.0178859503193496	0.0356929307124461	0.0326393511729608	0.00856900093267025	0.0208084386245576	0.0126510722103496
"NIPAL3"	"NIPAL3"	"grey"	"grey"	0.0337420173509533	0.0549571835105678	0.0783263919056059	0.0532678614797354	0.0639504499153302	0.0461923548805035	0.0460029569550147
"RCAN3AS"	"RCAN3AS"	"grey"	"grey"	-0.00933113790061728	0.035735381253501	0.0309799761435959	0.0672238273636925	0.0536667361760345	-0.000781442195639043	0.00344655388554542
"RCAN3"	"RCAN3"	"grey"	"grey"	-0.0291516510312672	0.060445102305039	0.0771532163688674	0.138261563291751	0.170828376405915	0.018080605558264	0.0614640207760767
"SRRM1"	"SRRM1"	"blue"	"blue"	-0.0388344106450616	0.0243098837490464	0.117211409049884	0.0819081978778393	0.19344483032617	0.0441046887046855	0.0686675040591914
"CLIC4"	"CLIC4"	"grey"	"grey"	-0.0124572067706439	-0.0350619697140582	0.00632950314563058	-0.00728883735065505	0.0206334886827236	0.00864316126418135	-0.0164817227728184
"SYF2"	"SYF2"	"grey"	"grey"	-0.0344741501084675	-0.000547263863225357	0.0179537930777447	0.0425773962658195	0.0628664792840302	-0.00367954882376505	0.00728201926758504
"RSRP1"	"RSRP1"	"grey"	"grey"	0.0384550919220763	0.0199447222259062	0.0947939246021595	0.0322492358792118	0.0861871551778616	0.0841155467594715	0.0657865807901916
"TMEM50A"	"TMEM50A"	"grey"	"grey"	0.0152948658226195	0.0298476167381346	0.080072896961853	0.0767583789142794	0.0895553184071905	0.0273341260446827	0.01849854057466
"MACO1"	"MACO1"	"grey"	"grey"	0.0243688150111942	0.0567601172291632	0.131908181951598	0.166091876177589	0.140601367412299	0.0341261447224581	0.0446030734141122
"LDLRAP1"	"LDLRAP1"	"grey"	"grey"	0.0290524678626282	0.0442037832152548	0.0491920312053258	0.0191977735913143	0.0552883801852405	0.0707443355497466	0.0948447767254881
"MAN1C1"	"MAN1C1"	"grey"	"grey"	0.139821315985504	0.0828495205135114	0.0769151010771355	0.026354694908938	-0.00562404183460858	0.161284033743513	0.142770646043088
"PAFAH2"	"PAFAH2"	"grey"	"grey"	-0.00545738554631514	0.00221780040686983	0.046908690216005	0.0252082650517152	0.072333276821057	0.0393114759780891	0.0324351929392368
"CNKSR1"	"CNKSR1"	"grey"	"grey"	-0.0270578011831553	-0.0151726789895924	0.0347216462297686	-0.00452497944592867	0.0667336212215821	0.0297056737042056	0.0350655394342267
"CEP85"	"CEP85"	"grey"	"grey"	-0.00836788836802532	0.0222142741277534	0.0603909365706716	0.0394085393178364	0.0778518034783838	0.0155331152476045	0.027770447667893
"DHDDS"	"DHDDS"	"grey"	"grey"	-0.0257879038812694	-0.0104985922356012	0.0815385569394387	0.0496303222612352	0.123480834084959	0.0391024130065786	0.0485228261204001
"HMGN2"	"HMGN2"	"grey"	"grey"	-0.00834425423410557	0.0300826302135933	0.0605109255691331	0.0420231066830619	0.0974357107119681	0.0201788809199264	0.060246874953813
"ARID1A"	"ARID1A"	"yellow"	"yellow"	0.0648690078978809	0.0335931000952457	0.140051052454772	0.0468756111262959	0.152045412884194	0.201046933065368	0.127620354021663
"GPN2"	"GPN2"	"grey"	"grey"	-0.0165268277426594	-0.00749873449493357	0.0637931905633508	0.044276524552042	0.0957550659120004	0.0298648368522091	0.0382546129515293
"NUDC"	"NUDC"	"grey"	"grey"	-0.0641404765400176	-0.00171001253543521	0.0552644951755942	0.0542123904153598	0.14058989477602	0.00180590566815881	0.0459091474324834
"TRNP1"	"TRNP1"	"yellow"	"yellow"	0.0133010008327303	0.0011137177365296	0.053123749848941	-0.00743376328587804	0.0292267265991532	0.0964886896643617	0.056392733413609
"SLC9A1"	"SLC9A1"	"grey"	"grey"	-0.0242754403181537	-0.00551610512296682	0.0441884884776517	0.0303557443877566	0.0870449884804361	0.026225433821397	0.0294605671633137
"WDTC1"	"WDTC1"	"grey"	"grey"	0.0257756366812196	0.0294545233743257	0.0789548206551027	0.0317502422891016	0.0698486135779059	0.0583535956436312	0.0581272947128325
"TMEM222"	"TMEM222"	"grey"	"grey"	-0.0252918110065376	0.00751334872477687	0.0439474103466252	0.0202396233167457	0.0749377122050836	0.00919125200448857	0.0169831290376838
"SYTL1"	"SYTL1"	"grey"	"grey"	-0.0509164279575486	-0.0384774075205117	0.0432595477918779	-0.0450045043001441	0.115047176276713	0.0534596817832212	0.0983989575712949
"WASF2"	"WASF2"	"grey"	"grey"	0.034132538154599	0.0390067112735414	0.100916061679944	0.0849516894585182	0.109396340467516	0.0955732699211924	0.0953840919842425
"AHDC1"	"AHDC1"	"green"	"green"	-0.0207138746051897	-0.0181742788034194	0.104516995591937	-0.027327602189096	0.158062257166353	0.143309493831102	0.205684973522488
"FAM76A"	"FAM76A"	"grey"	"grey"	-0.00934520936377305	0.0361501789220417	0.073088825617783	0.0892618311172748	0.137698511698485	0.0094344738066148	0.0472022197803561
"STX12"	"STX12"	"grey"	"grey"	0.0257896915664009	0.0227831128763098	0.122577882396137	0.125760400178873	0.113992736279631	0.0426877396138603	0.0319452319442035
