"gene_name"	"module"	"color"	"kME_green"	"kME_brown"	"kME_red"	"kME_black"	"kME_blue"	"kME_grey"	"kME_turquoise"	"kME_yellow"	"kME_pink"
"DFFB"	"DFFB"	"grey"	"grey"	0.0202070967295583	0.0264089817126125	0.00987918426981619	0.0153287272487227	0.0148572177952491	0.0602348049047995	0.0796284751267323	0.0375666734085188	0.0544792008948539
"NPHP4"	"NPHP4"	"grey"	"grey"	0.0639278068940403	0.0658587719063463	0.0173712472246709	0.00794679908335167	0.0252909117078169	0.0843654470179327	0.0428517825187426	0.030862693855688	0.022799939790138
"RPL22"	"RPL22"	"grey"	"grey"	0.0287889208204077	0.0160353281138822	-0.0378423550886409	-0.0292023037817905	-0.0573665740608718	0.061075283165849	0.0569262563784915	-0.00416941995103433	-0.0011246522634592
"NOL9"	"NOL9"	"grey"	"grey"	0.0282004639386287	0.0284368495659329	-0.0131968503827886	-0.0147897468842883	-0.0188556281154967	0.104294630967076	0.11117905003199	0.036701156306118	0.0558754843588607
"ZBTB48"	"ZBTB48"	"grey"	"grey"	-0.00688332449845562	-0.0119145249393682	0.00415530214305232	-0.00982931738597314	-0.000483995944481267	0.0965558405180155	0.0540853068082725	0.0303973576618286	0.0436812867242984
"DNAJC11"	"DNAJC11"	"turquoise"	"turquoise"	0.0671404443274043	0.0641717170979272	-0.0294453410802186	-0.00238847189975993	-0.0418435312000019	0.139707861434217	0.175272029857236	0.0412087544096927	0.0704142393161805
"CAMTA1"	"CAMTA1"	"grey"	"grey"	0.0916811476341701	0.149088317705196	0.0567456055190089	0.0954793710071264	0.10643053016538	0.204523401621606	0.0985819411451531	0.0431327599603037	0.0257425869030339
"VAMP3"	"VAMP3"	"grey"	"grey"	0.0271724443380426	0.0362272673480021	0.00751293610884602	-0.00244062079085543	-0.000304820794812791	0.0369602928813655	0.0503613087792423	0.0135943853816245	0.00515751957640557
"PER3"	"PER3"	"grey"	"grey"	0.119482591456947	0.15730852209974	-0.0138309336189583	0.0703519979923433	-0.0748481670597932	-0.0060859715402839	0.253189356882438	-0.000789918881100618	0.10630342273368
"PARK7"	"PARK7"	"grey"	"grey"	0.0326643095767537	0.0316373894812835	-0.016404539706099	0.00229000183773849	-0.0143263334724283	0.0614780240864132	0.0663916249069267	0.00706909137094222	0.0194638137314552
