"module"	"tf"	"color"	"odds_ratio"	"pval"	"fdr"	"Significance"	"Jaccard"	"size_intersection"
"INSM1"	"yellow"	"INSM1"	"yellow"	3.55834382660253	6.21441417633039e-15	5.72339873523762e-14	"***"	0.0114817688130334	74
"RARA::RXRA"	"yellow"	"RARA::RXRA"	"yellow"	2.6441779677127	8.27134469128117e-08	3.20958290751405e-07	"***"	0.01004716013943	49
"NR4A2"	"yellow"	"NR4A2"	"yellow"	1.85647265453169	0.00180643500342591	0.00334703635530761	"**"	0.00776105362182502	33
"PLAG1"	"yellow"	"PLAG1"	"yellow"	4.4846154532199	3.23763970459735e-22	5.18862583608692e-21	"***"	0.0115257331963939	101
"Nr2e3"	"yellow"	"Nr2e3"	"yellow"	1.47919840005459	0.065660914313633	0.0851508771455371	""	0.00642791551882461	21
"ARNT::HIF1A"	"yellow"	"ARNT::HIF1A"	"yellow"	1.14631180317089	0.416951168386881	0.449001186021817	" "	0.0047978067169294	7
"Zfx"	"yellow"	"Zfx"	"yellow"	3.38570688896736	1.75764881185407e-15	1.70010504200082e-14	"***"	0.00927927927927928	103
"Crx"	"yellow"	"Crx"	"yellow"	2.30181061762234	3.13609114712268e-05	8.13747476783834e-05	"***"	0.00927357032457496	36
"DUX4"	"yellow"	"DUX4"	"yellow"	1.34205877385464	0.109741135765173	0.134677174223021	" "	0.00592136428233065	25
"FOS"	"yellow"	"FOS"	"yellow"	1.42251849225156	0.0825420504870147	0.104833146904981	" "	0.00621820237422272	22
"FOSL2"	"yellow"	"FOSL2"	"yellow"	1.76859180823892	0.00992317422263725	0.0156010283879608	"*"	0.00750938673341677	24
"FOXH1"	"yellow"	"FOXH1"	"yellow"	1.21410302625078	0.229129800718082	0.261062743544389	" "	0.00542673902318698	22
"Foxo1"	"yellow"	"Foxo1"	"yellow"	2.59423915540082	2.74941453987858e-08	1.15066661809224e-07	"***"	0.00960728130793865	57
"Gfi1b"	"yellow"	"Gfi1b"	"yellow"	1.68359276363956	0.00132850552842555	0.00252259656177017	"**"	0.00685785536159601	55
"JUN"	"yellow"	"JUN"	"yellow"	1.89591869432919	0.00116839149541433	0.00224283063513436	"**"	0.00788863109048724	34
"JUN(var.2)"	"yellow"	"JUN(var.2)"	"yellow"	1.52102412209996	0.039408318128854	0.0537206127439471	""	0.00659108884787767	25
"JUND(var.2)"	"yellow"	"JUND(var.2)"	"yellow"	1.48521314528184	0.0428472670653844	0.0578927982445583	""	0.00645469758546498	27
"Klf1"	"yellow"	"Klf1"	"yellow"	3.33431208896924	9.08695555152661e-15	8.30489291447332e-14	"***"	0.0100236513120847	89
"Nr1h3::Rxra"	"yellow"	"Nr1h3::Rxra"	"yellow"	2.18907189210132	3.1586544403815e-06	9.68425537642804e-06	"***"	0.00837619397501837	57
"MEF2C"	"yellow"	"MEF2C"	"yellow"	2.04651221495611	2.19264620364992e-06	6.8763597180151e-06	"***"	0.00717170884510758	87
"MAF::NFE2"	"yellow"	"MAF::NFE2"	"yellow"	2.06135610840808	0.000228761921486779	0.000507339705474954	"***"	0.00843881856540084	36
"Nkx2-5(var.2)"	"yellow"	"Nkx2-5(var.2)"	"yellow"	1.53883697107293	0.0216923611619175	0.0315525253264254	"*"	0.00662937642428009	32
"NR2C2"	"yellow"	"NR2C2"	"yellow"	3.75206034784391	6.25381176427668e-17	6.84821075398224e-16	"***"	0.0113055181695828	84
"Nr5a2"	"yellow"	"Nr5a2"	"yellow"	2.21828481784458	4.44326099576991e-06	1.32454453660114e-05	"***"	0.00860215053763441	52
"NRF1"	"yellow"	"NRF1"	"yellow"	3.3662224352856	7.66813439208487e-13	5.8001807416936e-12	"***"	0.0115481775532299	64
"POU2F2"	"yellow"	"POU2F2"	"yellow"	1.25389260561808	0.129406578246741	0.156589306361831	" "	0.00557839107457428	38
"SMAD2::SMAD3::SMAD4"	"yellow"	"SMAD2::SMAD3::SMAD4"	"yellow"	2.7816679484174	2.35977648323945e-10	1.28261803752031e-09	"***"	0.00958423326133909	71
"Sox3"	"yellow"	"Sox3"	"yellow"	2.17706170487605	1.32348627947393e-06	4.32561123543286e-06	"***"	0.00809021819073302	66
"Sox6"	"yellow"	"Sox6"	"yellow"	2.05142422974553	4.0698418938424e-05	0.000103093448312612	"***"	0.00814223994682619	49
"STAT1::STAT2"	"yellow"	"STAT1::STAT2"	"yellow"	2.45962700672878	4.30374732437616e-09	1.995708160985e-08	"***"	0.00812856208539662	87
"Stat4"	"yellow"	"Stat4"	"yellow"	2.17933282224372	5.96622624733035e-06	1.7326733938719e-05	"***"	0.00845295055821372	53
"Stat5a::Stat5b"	"yellow"	"Stat5a::Stat5b"	"yellow"	2.22056614267516	5.81537305215464e-06	1.6971220721398e-05	"***"	0.00866250866250866	50
"Stat6"	"yellow"	"Stat6"	"yellow"	1.73324243775156	0.00265304458781437	0.00472920253885189	"**"	0.00725176645593157	39
"Tcf12"	"yellow"	"Tcf12"	"yellow"	2.73471845547269	1.17845875146876e-09	5.89031978958588e-09	"***"	0.00970873786407767	65
"TCF7L2"	"yellow"	"TCF7L2"	"yellow"	1.77488196737945	0.00184078601925094	0.00340750960387395	"**"	0.00739616916366395	39
"ZBTB33"	"yellow"	"ZBTB33"	"yellow"	3.03200320755949	5.4468734442335e-06	1.60211634870308e-05	"***"	0.0119961612284069	25
"ELK4"	"yellow"	"ELK4"	"yellow"	1.22762042759686	0.200262577388597	0.231846180767245	" "	0.00548967940272288	25
"ESR2"	"yellow"	"ESR2"	"yellow"	3.33821818735991	7.6092790763179e-12	5.15461719948527e-11	"***"	0.011842925410347	57
"IRF1"	"yellow"	"IRF1"	"yellow"	2.70115523119888	8.60871292667448e-11	4.96874262537653e-10	"***"	0.00767138573122254	110
"Nfe2l2"	"yellow"	"Nfe2l2"	"yellow"	2.11946708806718	0.000119587135108635	0.000278352582811363	"***"	0.00862269867163831	37
"STAT1"	"yellow"	"STAT1"	"yellow"	1.50666378478441	0.0228927947664393	0.0331370844448484	"*"	0.00649350649350649	35
"STAT3"	"yellow"	"STAT3"	"yellow"	1.95742679638968	7.24976393134038e-05	0.000175381399036236	"***"	0.0077542062911485	53
"GATA1::TAL1"	"yellow"	"GATA1::TAL1"	"yellow"	1.55050650528991	0.0419137377607216	0.0567342224894503	""	0.00669914738124239	22
"YY1"	"yellow"	"YY1"	"yellow"	1.19909050389734	0.196666679563831	0.228614480646073	" "	0.00538912664447615	34
"Bach1::Mafk"	"yellow"	"Bach1::Mafk"	"yellow"	2.49232286435582	4.18685464162194e-06	1.25437492475902e-05	"***"	0.00988039521580863	38
"FOXP2"	"yellow"	"FOXP2"	"yellow"	1.69352739329826	0.00272061921019887	0.00483665637368689	"**"	0.00706307490144547	43
"SREBF1"	"yellow"	"SREBF1"	"yellow"	2.29365529127091	7.37617307405375e-06	2.11030685071682e-05	"***"	0.00905722519555373	44
"SREBF2"	"yellow"	"SREBF2"	"yellow"	2.7006813718441	4.6614558737022e-08	1.88607245113592e-07	"***"	0.0102275099144229	49
"THAP1"	"yellow"	"THAP1"	"yellow"	2.40218778902783	3.16723426186884e-06	9.70331318009921e-06	"***"	0.00944432242477487	43
"KLF5"	"yellow"	"KLF5"	"yellow"	6.79873473202641	4.12154242791932e-32	1.38968165027246e-30	"***"	0.0108320629062024	135
"Arid3b"	"yellow"	"Arid3b"	"yellow"	1.18281989324346	0.219375160434995	0.251340172293348	" "	0.00533031820384429	33
"Arid5a"	"yellow"	"Arid5a"	"yellow"	1.45230889986521	0.0400623921389648	0.0544877749055019	""	0.00631537398855338	32
"Arntl"	"yellow"	"Arntl"	"yellow"	1.82701795786244	0.0188653509066947	0.0277721791344731	"*"	0.00768535262206148	17
"Atf1"	"yellow"	"Atf1"	"yellow"	0.901983905600669	0.647382818503477	0.671969447050341	" "	0.00345224395857307	3
"NFAT5"	"yellow"	"NFAT5"	"yellow"	1.76349602764592	0.00092120102122111	0.00180668014940768	"**"	0.0072234762979684	48
"Bhlha15"	"yellow"	"Bhlha15"	"yellow"	1.10112354884952	0.41723041975854	0.449220845231638	" "	0.0048582995951417	12
"Creb3l2"	"yellow"	"Creb3l2"	"yellow"	1.53176865685767	0.0995777641244376	0.123653786162015	" "	0.00650650650650651	13
"DMRT3"	"yellow"	"DMRT3"	"yellow"	1.99071669576676	0.00161541075034272	0.00301745582411435	"**"	0.0083051368809597	27
"Dux"	"yellow"	"Dux"	"yellow"	0.944008442877967	0.62126907227275	0.646848189693609	" "	0.00428921568627451	14
"FOXG1"	"yellow"	"FOXG1"	"yellow"	1.60145581401879	0.0148707238962608	0.0224168932086093	"*"	0.00686296214301528	31
"Foxj2"	"yellow"	"Foxj2"	"yellow"	1.60145581401879	0.0148707238962608	0.0224168932086093	"*"	0.00686296214301528	31
"Gmeb1"	"yellow"	"Gmeb1"	"yellow"	1.69752795847324	0.217255763340029	0.249292316289694	" "	0.00595238095238095	4
"LBX1"	"yellow"	"LBX1"	"yellow"	1.44618210622557	0.0686770582526371	0.088734506094769	""	0.00631001371742112	23
"LIN54"	"yellow"	"LIN54"	"yellow"	1.3255564800872	0.0720397815783976	0.0926023317107178	""	0.00581807861501348	41
"mix-a"	"yellow"	"mix-a"	"yellow"	1.09069453838365	0.393134949052321	0.425890247947767	" "	0.00493827160493827	20
"Mlxip"	"yellow"	"Mlxip"	"yellow"	1.391395547079	0.185219916109567	0.216404161969831	" "	0.00591715976331361	11
"NFATC1"	"yellow"	"NFATC1"	"yellow"	1.87182383642799	0.000366916219431642	0.000779550016934154	"***"	0.00761463333885118	46
"NFATC3"	"yellow"	"NFATC3"	"yellow"	1.73209454632632	0.00206106904375764	0.00377199020335651	"**"	0.00720782563926549	42
"Npas2"	"yellow"	"Npas2"	"yellow"	1.88430779692936	0.0106377103151646	0.0166149843394144	"*"	0.00791996665277199	19
"POU6F1"	"yellow"	"POU6F1"	"yellow"	1.54108141235369	0.0730160949716762	0.0937723380225874	""	0.00661157024793388	16
"Rhox11"	"yellow"	"Rhox11"	"yellow"	2.01778120691691	0.00321382217287205	0.00562301106059819	"**"	0.00842266462480858	22
"SHOX"	"yellow"	"SHOX"	"yellow"	0.98201094331419	0.566719724555143	0.595454809180474	" "	0.00439721509710517	12
"Six3"	"yellow"	"Six3"	"yellow"	0.995923621855779	0.545211507732796	0.574880261157125	" "	0.00450992182802165	15
"Twist2"	"yellow"	"Twist2"	"yellow"	0.812803188560574	0.779137142931898	0.797032990918335	" "	0.00368188512518409	10
"ALX3"	"yellow"	"ALX3"	"yellow"	1.70240808727616	0.0131949533502574	0.0201554854349465	"*"	0.00726321905868681	25
"Ar"	"yellow"	"Ar"	"yellow"	1.45434945487084	0.130522465139499	0.157779637827128	" "	0.0062200956937799	13
"BARHL2"	"yellow"	"BARHL2"	"yellow"	1.74169936754122	0.0547035869801561	0.072228098915392	""	0.0072289156626506	12
"BHLHE41"	"yellow"	"BHLHE41"	"yellow"	1.62200205590297	0.0915086374518632	0.114949178765043	" "	0.00675260896255371	11
"CENPB"	"yellow"	"CENPB"	"yellow"	1.90637454338784	0.0463058732245343	0.0621437938844212	""	0.00767459708365311	10
"CREB3"	"yellow"	"CREB3"	"yellow"	1.35961018270129	0.231889329986014	0.263904561662191	" "	0.00569981000633312	9
"DBP"	"yellow"	"DBP"	"yellow"	1.25604474742602	0.316245268914485	0.349639082045507	" "	0.00526315789473684	8
"ELF4"	"yellow"	"ELF4"	"yellow"	1.63252108087029	0.0184228306491525	0.0271810762210487	"*"	0.00700242391597091	26
"ELF5"	"yellow"	"ELF5"	"yellow"	1.37119483514476	0.0855442662506179	0.108116937946567	" "	0.00603082421264239	27
"EN1"	"yellow"	"EN1"	"yellow"	1.89329162430648	0.0278012424026751	0.0394760444109362	"*"	0.0078125	13
"EN2"	"yellow"	"EN2"	"yellow"	2.06469261006654	0.0123658507185827	0.0190057679857074	"*"	0.00845921450151057	14
"Esrrg"	"yellow"	"Esrrg"	"yellow"	1.51378080632432	0.0313995625076464	0.0439991991184865	"*"	0.00655367231638418	29
"ESX1"	"yellow"	"ESX1"	"yellow"	1.79215081283262	0.0166687279219795	0.0248946366962896	"*"	0.00758180367118915	19
"ETV6"	"yellow"	"ETV6"	"yellow"	1.17856388492469	0.263540913322526	0.296421441897632	" "	0.00529587842505181	23
"FLI1"	"yellow"	"FLI1"	"yellow"	1.31968070544262	0.17909365792598	0.209780363199657	" "	0.00577617328519856	16
"FOXI1"	"yellow"	"FOXI1"	"yellow"	1.92972033964349	0.000894145395549538	0.00176172324880807	"**"	0.00800753650494583	34
"FOXL1"	"yellow"	"FOXL1"	"yellow"	1.92972033964349	0.000894145395549538	0.00176172324880807	"**"	0.00800753650494583	34
"FOXO3"	"yellow"	"FOXO3"	"yellow"	1.61148840568626	0.0250778023686823	0.035985651487448	"*"	0.0069284064665127	24
"GCM1"	"yellow"	"GCM1"	"yellow"	1.53872791173236	0.107037967332344	0.131766210610443	" "	0.00649702219815918	12
"GRHL1"	"yellow"	"GRHL1"	"yellow"	1.06597417137419	0.469062410975474	0.500243829289068	" "	0.00466200466200466	10
"GSC"	"yellow"	"GSC"	"yellow"	1.75516792273278	0.0297051568022299	0.041880551806215	"*"	0.00740397963905599	16
"HEY2"	"yellow"	"HEY2"	"yellow"	1.89761944142996	0.0117163222159611	0.0180913353130286	"*"	0.00795755968169761	18
"HINFP"	"yellow"	"HINFP"	"yellow"	2.73518731275497	5.7670856671499e-06	1.68715525791915e-05	"***"	0.0109011627906977	30
"HNF1A"	"yellow"	"HNF1A"	"yellow"	1.87296399501728	0.000362722668574965	0.00077158564163567	"***"	0.00761841669426963	46
"HNF1B"	"yellow"	"HNF1B"	"yellow"	1.4176433694915	0.0719019886183881	0.0925007691473465	""	0.00620501365103003	25
"HOXC11"	"yellow"	"HOXC11"	"yellow"	1.87623543038923	0.0295169229977212	0.0416545274179239	"*"	0.00775193798449612	13
"HSF1"	"yellow"	"HSF1"	"yellow"	2.21141761280062	0.000115802048132587	0.000270491829062732	"***"	0.00901639344262295	33
"IRF8"	"yellow"	"IRF8"	"yellow"	1.30152037935058	0.157520822381056	0.186376738297015	" "	0.00575500137023842	21
"IRF9"	"yellow"	"IRF9"	"yellow"	2.10593148429192	3.44059819083815e-05	8.86210185710922e-05	"***"	0.00838803792851933	46
